SerialNumber;JobNr;Model;Description;Customer;FinalUser;Country;ManufactureDate;InstallationDate;MaterialType;ProductionRate;TotalPower;Certification
122;P20-035;A-45-HC;A-45-HCHF-RF,predisp.TB-MCF-B&R-CE-4003N;Tub-ex;Tub-ex;;2021-01;2021-01;PE-PP;45;20;
164;P21-033;A-45-HC;A-45-HC-RF-TB-MCF-B&R-CE-480V-60Hz-3N;SY USA / Packaging Personified;SY USA / Packaging Personified;USA;2021-01;2021-01;PE-PP;45;20;
161;P21-032;A-45-HC;A-45-HC-TB-B&R-CE-4803N;SY USA;SY USA;USA;2021-01;2021-01;PE-PP;45;20;
179;P21-048;A-45-HC;A-45-HC-V-SILO-MCF-400-50-SIDEPANEL;AMPACET Brembate;AMPACET Brembate;USA;2022-01;2022-01;PE-PP;45;20;
341;P24-026;A-XS-AC;A-45-XS-AC-RF-AS-0-MSC-2-CE-480-60Hz;SYNCRO GROUP USA;SYNCRO GROUP USA;USA;2024-01;2024-01;PE-PP;45;20;
342;P24-026;A-XS-AC;A-45-XS-AC-RF-AS-0-MSC-2-CE-480-60Hz;SYNCRO GROUP USA;SYNCRO GROUP USA;USA;2024-01;2024-01;PE-PP;45;20;
343;P24-026;A-XS-AC;A-45-XS-AC-RF-AS-0-MSC-2-CE-480-60Hz;SYNCRO GROUP USA;SYNCRO GROUP USA;USA;2024-01;2024-01;PE-PP;45;20;
344;P24-026;A-XS-AC;A-45-XS-AC-RF-AS-0-MSC-2-CE-480-60Hz;SYNCRO GROUP USA;SYNCRO GROUP USA;USA;2024-01;2024-01;PE-PP;45;20;
345;P24-026;A-XS-AC;A-45-XS-AC-RF-AS-0-MSC-2-CE-480-60Hz;SYNCRO GROUP USA;SYNCRO GROUP USA;USA;2024-01;2024-01;PE-PP;45;20;
346;P24-026;A-XS-AC;A-45-XS-AC-RF-AS-0-MSC-2-CE-480-60Hz;SYNCRO GROUP USA;SYNCRO GROUP USA;USA;2024-01;2024-01;PE-PP;45;20;
347;P24-026;A-XS-AC;A-45-XS-AC-RF-AS-0-MSC-2-CE-480-60Hz;SYNCRO GROUP USA;SYNCRO GROUP USA;USA;2024-01;2024-01;PE-PP;45;20;
348;P24-026;A-XS-AC;A-45-XS-AC-RF-AS-0-MSC-2-CE-480-60Hz;SYNCRO GROUP USA;SYNCRO GROUP USA;USA;2024-01;2024-01;PE-PP;45;20;
223;P22-029;A-XS-AC;A-45-XS-AC-RF-HF-MSC-2-CE-4003N-NOSR;CEMAC / SANCELL;CEMAC / SANCELL;;2022-01;2022-01;PE-PP;45;20;
236;P22-041;A-XS-AC;A-45-XS-AC-RF-HF-MSC-2-CE-4003N-NOSR;MIZSEPLAST;MIZSEPLAST;;2022-01;2022-01;PE-PP;45;20;
243;P22-055;A-XS-AC;A-45-XS-AC-RF-HF-MSC-2-CE-4003N-NOSR;ACZ SAS / BEGOODPACK;ACZ SAS / BEGOODPACK;;2022-01;2022-01;PE-PP;45;20;
141;P21-006;A-XS-AC;A-45-XS-AC-RF-TB-0-B&R-CE-4003N-NOSR;Plasmac;Plasmac;;2021-01;2021-01;PE-PP;45;20;
144;P22-020;A-XS-AC;A-45-XS-AC-RF-TB-0-B&R-CE-4003N-NOSR;ANKATEKNIK PLASTIK / STOCK;ANKATEKNIK PLASTIK / STOCK;;2021-01;2021-01;PE-PP;45;20;
182;P21-053;A-XS-AC;A-45-XS-AC-RF-TB-0-B&R-CE-4803N-NOSR;Syncro USA;Syncro USA;;2022-01;2022-01;PE-PP;45;20;
140;P21-015;A-XS-AC;A-45-XS-AC-RF-TB-HF-0-B&R-CE-4003N-NOSR;ANKATEKNIK PLASTIK / TUNCMAN;ANKATEKNIK PLASTIK / TUNCMAN;;2021-01;2021-01;PE-PP;45;20;
168;P21-045;A-XS-AC;A-45-XS-AC-RF-TB-HF-0-B&R-CE-4003N-NOSR;ANKATEKNIK PLASTIK / FITPACK;ANKATEKNIK PLASTIK / FITPACK;;2021-01;2021-01;PE-PP;45;20;
183;P21-051/23-005;A-XS-AC;A-45-XS-AC-RF-TB-HF-MSC-2-B&R-CE-4003N-SR;Bandera;Bandera;;2022-01;2022-01;PE-PP;45;20;
192;P22-001;A-XS-AC;A-45-XS-AC-RF-TB-MSC-2-B&R-CE-4003N-NOSR;Italpac;Italpac;;2022-01;2022-01;PE-PP;45;20;
184;P22-032;A-XS-AC;A-45-XS-AC-RF-TB-MSC-2-B&R-CE-4003N-SR;UKE / Berry Brombrough;UKE / Berry Brombrough;;2022-01;2022-01;PE-PP;45;20;
204;P21-052;A-XS-AC;A-45-XS-AC-RF-TB-MSC-2-B&R-CE-4003N-SR;CSI / MT PLASTICS;CSI / MT PLASTICS;;2022-01;2022-01;PE-PP;45;20;
208;P21-057;A-XS-AC;A-45-XS-AC-RF-TB-MSC-2-B&R-CE-4403N-NOSR;ANKATEKNIK PLASTIK / VOIDTECH (Rep. Dominicana);ANKATEKNIK PLASTIK / VOIDTECH (Rep. Dominicana);;2022-01;2022-01;PE-PP;45;20;
242;P22-035;A-XS-AC;A-45-XS-AC-RF-TB-MSC-2-CE-4003N-NOSR;OLIMP LTD;OLIMP LTD;;2022-01;2022-01;PE-PP;45;20;
211;P22-016;A-XS-AC;A-45-XS-AC-RF-TB-MSC-2-CE-4003N-SR;Plasmac / K2022 / Anka / Kung Hsing;Plasmac / K2022 / Anka / Kung Hsing;;2022-01;2022-01;PE-PP;45;20;
212;P22-023;A-XS-AC;A-45-XS-AC-RF-TB-MSC-2-CE-4003N-SR;Syncplas;Syncplas;;2022-01;2022-01;PE-PP;45;20;
213;P22-023;A-XS-AC;A-45-XS-AC-RF-TB-MSC-2-CE-4003N-SR;Syncplas;Syncplas;;2022-01;2022-01;PE-PP;45;20;
214;P22-023;A-XS-AC;A-45-XS-AC-RF-TB-MSC-2-CE-4003N-SR;Syncplas;Syncplas;;2022-01;2022-01;PE-PP;45;20;
215;P22-023;A-XS-AC;A-45-XS-AC-RF-TB-MSC-2-CE-4003N-SR;Syncplas;Syncplas;;2022-01;2022-01;PE-PP;45;20;
219;P22-028;A-XS-AC;A-45-XS-AC-RF-TB-MSC-2-CE-4803N-NOSR;Syncro USA / Revolution Stretch Solutions;Syncro USA / Revolution Stretch Solutions;USA;2022-01;2022-01;PE-PP;45;20;
220;P22-028;A-XS-AC;A-45-XS-AC-RF-TB-MSC-2-CE-4803N-NOSR;Syncro USA / Revolution Stretch Solutions;Syncro USA / Revolution Stretch Solutions;USA;2022-01;2022-01;PE-PP;45;20;
221;P22-028;A-XS-AC;A-45-XS-AC-RF-TB-MSC-2-CE-4803N-NOSR;Syncro USA / Revolution Stretch Solutions;Syncro USA / Revolution Stretch Solutions;USA;2022-01;2022-01;PE-PP;45;20;
222;P22-028;A-XS-AC;A-45-XS-AC-RF-TB-MSC-2-CE-4803N-NOSR;Syncro USA / Revolution Stretch Solutions;Syncro USA / Revolution Stretch Solutions;USA;2022-01;2022-01;PE-PP;45;20;
228;P22-033;A-XS-AC;A-45-XS-AC-RF-TB-MSC-2-CE-4803N-NOSR;Syncro USA;Syncro USA;USA;2022-01;2022-01;PE-PP;45;20;
229;P22-033;A-XS-AC;A-45-XS-AC-RF-TB-MSC-2-CE-4803N-NOSR;Syncro USA;Syncro USA;USA;2022-01;2022-01;PE-PP;45;20;
230;P22-033;A-XS-AC;A-45-XS-AC-RF-TB-MSC-2-CE-4803N-NOSR;Syncro USA;Syncro USA;USA;2022-01;2022-01;PE-PP;45;20;
231;P22-033;A-XS-AC;A-45-XS-AC-RF-TB-MSC-2-CE-4803N-NOSR;Syncro USA;Syncro USA;USA;2022-01;2022-01;PE-PP;45;20;
256;P22-066;A-XS-AC;A-45-XS-AC-RF-TB-MSC-2-CE-4803N-NOSR;Syncro USA;Syncro USA;USA;2023-01;2023-01;PE-PP;45;20;
257;P22-066;A-XS-AC;A-45-XS-AC-RF-TB-MSC-2-CE-4803N-NOSR;Syncro USA;Syncro USA;USA;2023-01;2023-01;PE-PP;45;20;
258;P22-066;A-XS-AC;A-45-XS-AC-RF-TB-MSC-2-CE-4803N-NOSR;Syncro USA;Syncro USA;USA;2023-01;2023-01;PE-PP;45;20;
259;P22-066;A-XS-AC;A-45-XS-AC-RF-TB-MSC-2-CE-4803N-NOSR;Syncro USA;Syncro USA;USA;2023-01;2023-01;PE-PP;45;20;
270;P23-001;A-XS-AC;A-45-XS-AC-RF-TB-MSC-2-CE-4803N-NOSR;Syncro USA;Syncro USA;USA;2023-01;2023-01;PE-PP;45;20;
271;P23-001;A-XS-AC;A-45-XS-AC-RF-TB-MSC-2-CE-4803N-NOSR;Syncro USA;Syncro USA;USA;2023-01;2023-01;PE-PP;45;20;
272;P23-001;A-XS-AC;A-45-XS-AC-RF-TB-MSC-2-CE-4803N-NOSR;Syncro USA;Syncro USA;USA;2023-01;2023-01;PE-PP;45;20;
273;P23-001;A-XS-AC;A-45-XS-AC-RF-TB-MSC-2-CE-4803N-NOSR;Syncro USA;Syncro USA;USA;2023-01;2023-01;PE-PP;45;20;
284;P23-002;A-XS-AC;A-45-XS-AC-RF-TB-MSC-2-CE-4803N-NOSR;Syncro USA;Syncro USA;USA;2023-01;2023-01;PE-PP;45;20;
285;P23-002;A-XS-AC;A-45-XS-AC-RF-TB-MSC-2-CE-4803N-NOSR;Syncro USA;Syncro USA;USA;2023-01;2023-01;PE-PP;45;20;
286;P23-002;A-XS-AC;A-45-XS-AC-RF-TB-MSC-2-CE-4803N-NOSR;Syncro USA;Syncro USA;USA;2023-01;2023-01;PE-PP;45;20;
287;P23-002;A-XS-AC;A-45-XS-AC-RF-TB-MSC-2-CE-4803N-NOSR;Syncro USA;Syncro USA;USA;2023-01;2023-01;PE-PP;45;20;
